description_text,language_hint_optional
"inyma ya Fruits market, gate itukura",KIN
above Kaeza Modern Market :),EN
hejuru ya Ambassade ya Uganda,KIN
near elise AEBR Bumbogo,EN
opposite Kagugu Minimarket market,EN
"inyuma ya farumasi Abirwa Pharmacy, gate itukura on RN3",KIN
en face de nabugogo stop on RN3,FR
hejuru y Fruits market market,KIN
hafi ya Zinia Market,KIN
pres de Akagera Motoe,FR
"inyuma ya Marché Moderne de Kabeza, gate itukura",KIN
opposite Akagera Motoe bus stop,EN
pres de marche Kabeza Modern Market :),FR
opposite ADEPR Shell church on RN3,EN
pres de Isoko rya Kicukiro,FR
"derriere Akagera Motoe bus stop, portail rouge on RN3",FR
hejuru ya Place du marché de Nyamirambo,KIN
above Adrenline Pharmacy Ltd pharmacy on RN3 :),EN
opposite Marché Moderne de Kabeza on RN3,EN
hafi ya gare APAPEC :),KIN
above marche Kaeza Modern Market,FR
en face de AERIS PHARMACY,FR
"derriere gare Ambassade ya Uganda, portail rouge",FR
above marche Fruits market o RN3,FR
"behind gare APAPEC, red gate :)",EN
near ADEPR Kimihuura,EN
above 2050PHARMACY on RN3,EN
above itorero 7th Day Adventist Kibagabaga,EN
near Mu Itunda market,EN
en face de PAPEC :),FR
hejuu ya Agro-Vet Pharmacy Services on RN3,EN
pres de Nyabugogo Bus Park,FR
"derriere gare ya Arrete, portail rouge",FR
opposite Akagera Motor on RN3,EN
en face de AEBR umbogo,FR
pres de Mu Itunda,FR
"derriere AEBR Kacyiru church, portail roue",FR
"behind pharmacie Abirwa Pharmacy, red gate",FR
"derriere eglise 7 days advantist church, portail rouge",FR
"derriere farumasi 2050 Pharmacy, portail rouge on RN3",FR
hafi ya Akagera Motoe stop,KIN
en face de Gahanga Market on N3,FR
"behind gare ya Arrete, red gate :)",EN
"derriere APAPEC, portail rouge :)",FR
"inyuma ya gare ya Beltoire, gate itukura",KIN
near gare Batsinda,EN
hejuru ya gare Beauséjour,KIN
near ADEPR Shell church,EN
"inyuma ya ADEPR Shell, gate itukura",KIN
above 2050PHARMACY :),EN
near 2050PHARMACY pharmacy,EN
hejuru ya itorero ADEPR Kimihurura on RN3,KIN
"inyuma ya Gahanga Market, gate itukura",KIN
hafi ya Advanced Pharmacy pharmacy,KIN
hafi ya marche Fruits market,KIN
opposite Abacus Phrma Alam pharmacy on RN3,EN
en face de pharmacie AERIS PHARMAY,FR
"derriere marche Kagugu Minimarket, portail rouge on RN3",FR
"derriere AEBR Kacyiru, portail rouge",FR
pres de nyabugogo,FR
opposite gare Azam,EN
"derriere farumasi AERIS PHARMACY, portail rouge on RN3",FR
near AEBR Bumbogo church on RN3,EN
en face de nyabugogo on RN3,FR
near Agro-Vet Pharmacy Services,EN
hafi ya 2050PHARMACY pharmacy,KIN
pres de Arete on RN3,FR
"inyuma ya nyabugogo stop, gate itukura",KIN
above Beltoire,EN
opposite Kicukiro Market,EN
near Nyamirambo Market Place market,EN
pres de marche COMO BUSINESS CENTER,FR
opposite ADEPR imihurura church,EN
opposite Gahanga Market,EN
hafi ya pharmacy on rn3 on RN3,KIN
en face de eglise ADEPR Shell,FR
"derriere marche Nyamirambo Market Place, portail rouge on RN3",FR
"inyuma ya ADEPR Shyorongi, gate itukura",KIN
"behind kimironko, red gate",EN
opposite gare ya Akagera Motoe,EN
near Adventist church :),EN
"inyuma ya Zinia Market market, gate itukura on RN3",KIN
"behind gare Akagera Motoe, red gate",EN
above gare Akagera Motoe,EN
above COMO BUSINESS CENTER market,EN
en face de Place du marché de Nyamirambo,FR
above Zini Market market,EN
hafi ya 7 dys advantist church church,KIN
"derriere ADPR MUBUGA, portail rouge on RN3",FR
"behind AEBR Bumbogo, red gate",EN
"behind marche Kagugu Minimarket, red gate :)",FR
opposite Remera Market market,EN
en face de Agro-Vet Pharmacy Services,FR
opposite Gahanga Market,EN
"behind Arrete sop, red gate",EN
en face de Adrenaline Pharmacy on RN3,FR
pres de eglise ADEPR Shell,FR
en face de Abacus Pharma Alam :),FR
"inyuma ya Agro-Vet Pharmacy Services, gate itukura",KIN
hejuru a kimironko,KIN
hafi ya Akagera Motoe bus stop on RN3,KIN
"derriere Adonis pharmacy, portail rouge on RN3 :)",FR
opposite Kabeza Modern Market market,EN
near Fruits market,EN
hejuru ya Adonis,KIN
pres de Ambasade ya Uganda,FR
en face de Fruits market,FR
hejuru ya itorero ADEPR Kabeza,KIN
hafi ya Beauséjor bus stop,KIN
en face de itorero 7 days avantist church,FR
en face de Afia Pharma,FR
hafi ya gare Beloire on RN3,KIN
above Alpha,EN
"inyuma ya isoko rya kimironko, gate itukura",KIN
pres de Beauséjour stop,FR
pres de Azam bus stop,FR
near Adonis pharmacy on RN3,EN
near Afia Pharma,EN
above isoko Remera Market :),EN
pes de Agro-Vet Pharmacy Services,EN
above 2050 Pharmacy pharmacy :),EN
"inyuma ya Alpha, gate itukura",KIN
"behind Afia Pharma pharmacy, red gate",EN
en face de Adventist curch,FR
"inyuma ya ADEPR Kimihurura, gate itukura on RN3",KIN
near isoko COMO BUSINESS CENTER,EN
opposite Beauséjour bus stop :),EN
near Abirwa Pharmacy :),EN
"inyuma ya Azam, gate itukura on RN3",KIN
"behind ADEPR Kanyinya, red gate",EN
near 2050PHARMACY pharmacy,EN
opposite Afri Health Care Pharmacy,EN
"inyuma ya Advanced Pharmacy, gate itukura on RN3",KIN
hafi ya Batsinda stop on RN3,KIN
above itorero AEPR Kabeza :),EN
pres de isoko Nyamirambo Market Place :),FR
hejuru ya Batsinda,KIN
"derriere nyabugogo gare, portail rouge",FR
opposite gare ya Beauséjour,EN
pres de AEBR Bumbogo church,FR
en face de Kagugu Minimarket market,FR
en face de Nyabugogo Bus Park,FR
above Adventist church,EN
above Afri Health Care Pharmacy pharmacy,EN
near 2050 Pharmacy pharmacy,EN
en face de Kagugu Minimarket on RN3,FR
"derrier Kicukiro Market, portail rouge",FR
"inyuma ya gare ya Akagera Motoe, gate itukura",KIN
hafi ya Ambassade ya Uganda stop,KIN
"derriere Azam stop, portail rouge on RN3",FR
"inyuma ya Adrenaline Pharmacy Ltd, gate itukura",KIN
hafi ya Ambassade ya Uganda,KIN
en face de Gahanga Market,FR
above Remera Market market,EN
near marche Kagugu Minimarket,FR
en face de eglise ADEPR Shell,FR
en face de Advanced Pharmacy on RN3,FR
en face de Abirwa Pharmacy,FR
"derriere AEBR Bumbogo, portail rouge",FR
opposite Kagugu Minimarket,EN
pres de eglise ADPR MUBUA :),FR
haf ya Isoko rya Kabeza,EN
"derriere gare ya ADEV TVET school, portail rouge :)",FR
hafi ya 2050 Pharmacy pharmacy,KIN
"derriere Batsinda, portail rouge on RN3",FR
near Kabeza Modern Market market,EN
en face de 7th Day Adventist Kibagabaga church,FR
above ADEPR Kanyinya on RN3,EN
opposite ADEPR Kimihurura church,EN
"inyuma ya Akagera Motor, gate itukura",KIN
hafi ya Kagugu Minimarket,KIN
"behind gare Batsinda, red gate",EN
near isoko Zinia Market,EN
"derriere 7th Day Adventist Kibagabaga, portail rouge",FR
"behind gare ADEV TVET school, red gate :)",EN
opposite ADEPR Shell on RN3,EN
above itorero ADPR Karembure,EN
hafi ya gare ya Akagera Motor,KIN
"derriere 2050PHARMACY, portail rouge",FR
pres de Azam :),FR
pres de gare ya Akagera Motoe,FR
pres de Fruits market,FR
pres de gare Azam :),FR
hafi ya isoko Kaguu Minimarket on RN3 :),KIN
"inyuma ya Adonis, gate itukura :)",KIN
above isoko Gahanga Market,EN
"inyuma ya Magasin de fruits, gate itukura",KIN
pres de Kagugu Minimarket,FR
pres de phrmacie Abirwa Pharmacy,FR
"inyuma ya farumasi Afri Health Care Pharmacy, gate itukura on RN3",KIN
"behind isoko rya kimironko, red gate :)",EN
above 2050PHARMACY,EN
"derriere soko Zinia Market, portail rouge on RN3",FR
hafi ya Arret on RN3,KIN
hejuru ya 7 days advantist churc church on RN3,KIN
"inyuma ya gare ya APAPEC, gate itukura on RN3",KIN
"inyuma ya Beauséjour sop, gate itukura",KIN
"behind Akagera Motoe, red gate",EN
en face de farumasi Abirwa Pharmacy on RN3 :),FR
"derriere 2050PHARMACY pharmacy, portail rouge",FR
