description_id,true_lat,true_lon
D001,-1.960942,30.137553
D002,-1.9697864,30.1257077
D003,-1.9380815,30.0862669
D004,-1.8765815,30.1572416
D005,-1.9183711,30.0915447
D006,-1.9591382,30.1157402
D007,-1.9399,30.0452299
D008,-1.9601326,30.137553
D009,-1.9721234,30.0992332
D010,-1.9678593,30.0942392
D011,-1.9705958,30.1257077
D012,-1.9680392,30.0948691
D013,-1.9698763,30.1257077
D014,-1.9699158,30.1008399
D015,-1.9813132,30.1044117
D016,-1.9685788,30.0942392
D017,-1.9750083,30.0511151
D018,-1.9680801,30.12141
D019,-1.9700562,30.1263376
D020,-1.9203275,30.0727925
D021,-1.9697864,30.1257077
D022,-1.9257925,30.0560924
D023,-1.9388909,30.0862669
D024,-1.9601326,30.137553
D025,-1.921047,30.0727925
D101,-1.9678593,30.0942392
D102,-1.9990402,30.1454641
D103,-1.9700562,30.1263376
D104,-1.9602225,30.137553
D105,-1.9982308,30.1454641
D106,-1.9381714,30.0862669
D107,-1.9604024,30.1381829
D108,-1.9715413,30.131985
D109,-1.9575493,30.1049185
D110,-1.9392921,30.0766968
D111,-1.9691775,30.0779053
D112,-1.9144996,30.0661596
D113,-1.9689862,30.1558302
D114,-1.9369396,30.1307
D115,-1.9575493,30.1049185
D116,-1.9295921,30.1519069
D117,-1.9983207,30.1454641
D118,-1.9689976,30.0772754
D119,-1.9576022,30.1192537
D120,-1.9153786,30.0782101
D121,-1.918895,30.056246
D122,-1.9697956,30.1558302
D123,-1.9697171,30.0772754
D124,-1.9658364,30.120454
D125,-1.9565552,30.0812067
